G1_true;G2_true;G3_true;G1_pred_m1;G2_pred_m1;G3_pred_m1;G1_pred_m2;G2_pred_m2;G3_pred_m2
1;0;0;0.856686687;0.116951985;0.026361328;0.437160079;0.144385103;0.418454817
1;0;0;0.801178794;0.150544771;0.048276435;0.307523565;0.593002463;0.099473972
1;0;0;0.847360798;0.122981538;0.029657664;0.304636279;0.410136743;0.285226978
1;0;0;0.815772974;0.142232208;0.041994817;0.237849406;0.556614683;0.205535911
1;0;0;0.806955284;0.147297058;0.045747658;0.406734707;0.235582175;0.357683118
1;0;0;0.689448801;0.203328493;0.107222706;0.106304824;0.480050681;0.413644495
1;0;0;0.799778755;0.151323645;0.0488976;0.109911979;0.577029424;0.313058597
1;0;0;0.823547;0.137657304;0.038795696;0.389018754;0.225451931;0.385529315
1;0;0;0.745804844;0.178997766;0.07519739;0.181948827;0.45023234;0.367818833
1;0;0;0.81387422;0.143333912;0.042791868;0.31134361;0.322859712;0.365796678
1;0;0;0.708875185;0.195442269;0.095682546;0.206682536;0.636614287;0.156703178
1;0;0;0.777376588;0.163357375;0.059266038;0.401393903;0.539972104;0.058633994
1;0;0;0.87518725;0.104496115;0.020316634;0.246346789;0.669685223;0.083967988
1;0;0;0.477669635;0.25770038;0.264629985;0.262010569;0.201581162;0.536408268
1;0;0;0.810585211;0.14522786;0.044186929;0.182314946;0.689756828;0.127928226
1;0;0;0.84710782;0.123142836;0.029749345;0.096502688;0.230439642;0.67305767
1;0;0;0.833599799;0.131585684;0.034814517;0.329741208;0.20304741;0.467211382
1;0;0;0.842322113;0.126171967;0.03150592;0.246677902;0.569775932;0.183546166
1;0;0;0.830558393;0.133441379;0.036000228;0.301623071;0.329098716;0.369278213
1;0;0;0.806979411;0.147283377;0.045737212;0.425631859;0.250943073;0.323425068
1;0;0;0.852355099;0.119772832;0.027872068;0.402724262;0.367726222;0.229549516
1;0;0;0.804475801;0.14869785;0.046826349;0.280201638;0.419206265;0.300592097
1;0;0;0.833976062;0.131354967;0.034668971;0.536087476;0.263726007;0.200186516
1;0;0;0.785057442;0.159321374;0.055621185;0.31489235;0.357002123;0.328105527
1;0;0;0.698835821;0.199582148;0.10158203;0.582964631;0.140376931;0.276658438
1;0;0;0.813493134;0.143554291;0.042952574;0.411530196;0.274356824;0.31411298
1;0;0;0.526256676;0.250223142;0.223520181;0.567442438;0.33930374;0.093253822
1;0;0;0.770986592;0.166645043;0.062368365;0.333645644;0.423404159;0.242950198
1;0;0;0.658326469;0.214905344;0.126768188;0.217809841;0.290735358;0.491454801
1;0;0;0.837057184;0.129456166;0.033486651;0.339458926;0.140925301;0.519615773
1;0;0;0.792831799;0.155141189;0.052027011;0.36416558;0.06426572;0.5715687
1;0;0;0.822893027;0.138046165;0.039060807;0.367071971;0.268257079;0.36467095
1;0;0;0.842322113;0.126171967;0.03150592;0.274628308;0.295435213;0.429936479
1;0;0;0.759600728;0.172348143;0.068051129;0.12536493;0.580203876;0.294431194
1;0;0;0.811397576;0.14476176;0.043840664;0.364199399;0.291496361;0.34430424
1;0;0;0.75419856;0.174985656;0.070815784;0.467644831;0.172738194;0.359616975
1;0;0;0.666687636;0.211921099;0.121391266;0.611704231;0.239982684;0.148313085
1;0;0;0.853293601;0.119164661;0.027541738;0.20626242;0.588577998;0.205159582
1;0;0;0.869580506;0.108342004;0.02207749;0.204885318;0.446073219;0.349041463
1;0;0;0.812077006;0.144371081;0.043551913;0.281487465;0.082489633;0.636022902
1;0;0;0.732890391;0.184969622;0.082139986;0.419804963;0.279176438;0.301018599
1;0;0;0.866870363;0.110178615;0.022951022;0.211435581;0.521362696;0.267201722
1;0;0;0.810824869;0.14509047;0.044084661;0.51865403;0.313335323;0.168010647
1;0;0;0.855628652;0.117644284;0.026727064;0.201704495;0.371406383;0.426889122
1;0;0;0.761217187;0.171550433;0.06723238;0.257763235;0.638986527;0.103250238
1;0;0;0.85195614;0.120030866;0.028012994;0.3746033;0.346040197;0.279356503
1;0;0;0.843824459;0.125225579;0.030949963;0.13115459;0.408960224;0.459885187
1;0;0;0.83668009;0.129689471;0.033630439;0.373917658;0.403348262;0.22273408
1;0;0;0.754313826;0.174929834;0.07075634;0.20272311;0.338531466;0.458745424
1;0;0;0.672139365;0.209925745;0.11793489;0.135399449;0.393139149;0.471461402
1;0;0;0.873050059;0.105969512;0.020980429;0.464644589;0.231217947;0.304137464
1;0;0;0.052322327;0.137494897;0.810182775;0.242876406;0.371366313;0.38575728
1;0;0;0.791646978;0.155784495;0.052568527;0.44158566;0.423676045;0.134738295
1;0;0;0.694085853;0.201492801;0.104421346;0.122656395;0.382453439;0.494890166
1;0;0;0.778377773;0.162836525;0.058785702;0.526828164;0.264749365;0.208422471
1;0;0;0.733611534;0.184642506;0.08174596;0.488578731;0.282700961;0.228720308
1;0;0;0.793536915;0.15475727;0.051705814;0.148968469;0.505759964;0.345271567
1;0;0;0.842606414;0.125993191;0.031400396;0.183665577;0.236182179;0.580152244
1;0;0;0.81295286;0.143866308;0.043180832;0.210586301;0.197132894;0.592280805
1;0;0;0.797091025;0.152809917;0.050099058;0.305050697;0.381651041;0.313298261
1;0;0;0.786454945;0.158577048;0.054968007;0.119035606;0.777831223;0.103133171
0;1;0;0.754067743;0.175048985;0.070883272;0.700294521;0.165323032;0.134382447
0;1;0;0.853336645;0.119136728;0.027526627;0.318038608;0.366772698;0.315188693
0;1;0;0.858739509;0.11560269;0.025657801;0.136461342;0.210312627;0.653226031
0;1;0;0.659446397;0.214510935;0.126042668;0.23871864;0.404804921;0.356476439
0;1;0;0.802353587;0.149888726;0.047757686;0.308380641;0.177856024;0.513763335
0;0;1;0.465256603;0.259127816;0.275615581;0.700997009;0.160928243;0.138074748
0;1;0;0.75474588;0.17472042;0.0705337;0.452098423;0.403633921;0.144267656
0;1;0;0.754793313;0.174697413;0.070509274;0.417848974;0.42248558;0.159665446
0;1;0;0.819735942;0.139913021;0.040351037;0.231637689;0.230977381;0.53738493
0;1;0;0.811875253;0.144487172;0.043637575;0.638933175;0.224880851;0.136185974
0;1;0;0.838531349;0.128541655;0.032926997;0.425511769;0.407411926;0.167076306
0;1;0;0.660225432;0.214235613;0.125538955;0.459576437;0.285344653;0.25507891
0;1;0;0.771330346;0.166469784;0.06219987;0.4242636;0.28241156;0.29332484
0;1;0;0.487475044;0.256432768;0.256092188;0.36610913;0.113984378;0.519906493
0;0;1;0.335341716;0.261483659;0.403174625;0.413124557;0.232500632;0.354374811
0;0;1;0.41505644;0.262835995;0.322107565;0.692999202;0.206788531;0.100212266
0;0;1;0.436137361;0.261687738;0.302174901;0.481571292;0.362911713;0.155516994
0;0;1;0.358857546;0.262861688;0.378280766;0.349553859;0.265098443;0.385347698
0;0;1;0.597665462;0.233856858;0.16847768;0.247379944;0.299196193;0.453423863
